date,well id,wl
7/23/2017,SDLD2,0.29519
7/23/2017,SDLD4,-18.911612
7/23/2017,SDLD5,-6.0295994
7/23/2017,SDLD6,-8.461696
7/24/2017,SDLD1,58.880333
7/24/2017,SDLD2,0.29519
7/24/2017,SDLD4,-19.031612
7/24/2017,SDLD5,-6.0195994
7/24/2017,SDLD6,-8.461696
7/25/2017,SDLD1,58.770333
7/25/2017,SDLD2,0.29519
7/25/2017,SDLD4,-19.531612
7/25/2017,SDLD5,-6.0795994
7/25/2017,SDLD6,-8.461696
7/26/2017,SDLD1,58.620333
7/26/2017,SDLD2,0.29519
7/26/2017,SDLD4,-20.321612
7/26/2017,SDLD5,-6.1495994
7/26/2017,SDLD6,-8.471696
7/27/2017,SDLD1,58.540333
7/27/2017,SDLD2,0.29519
7/27/2017,SDLD4,-20.561612
7/27/2017,SDLD5,-6.1895994
7/27/2017,SDLD6,-8.471696
7/28/2017,SDLD1,58.450333
7/28/2017,SDLD2,0.29519
7/28/2017,SDLD4,-20.821612
7/28/2017,SDLD5,-6.2395994
7/28/2017,SDLD6,-8.491696
7/29/2017,SDLD1,58.380333
7/29/2017,SDLD2,0.29519
7/29/2017,SDLD4,-21.121612
7/29/2017,SDLD5,-6.2795994
7/29/2017,SDLD6,-8.511696
7/30/2017,SDLD1,58.350333
7/30/2017,SDLD2,0.29519
7/30/2017,SDLD4,-21.441612
7/30/2017,SDLD5,-6.3495994
7/30/2017,SDLD6,-8.531696
7/31/2017,SDLD1,58.390333
7/31/2017,SDLD2,0.29519
7/31/2017,SDLD4,-21.671612
7/31/2017,SDLD5,-6.3795994
7/31/2017,SDLD6,-8.531696
8/1/2017,SDLD1,58.530333
8/1/2017,SDLD2,0.29519
8/1/2017,SDLD4,-21.751612
8/1/2017,SDLD5,-6.2995994
8/1/2017,SDLD6,-8.521696
8/2/2017,SDLD1,58.520333
8/2/2017,SDLD2,0.47519
8/2/2017,SDLD4,-21.891612
8/2/2017,SDLD5,-6.3095994
8/2/2017,SDLD6,-8.541696
8/3/2017,SDLD1,58.400333
8/3/2017,SDLD2,0.21519
8/3/2017,SDLD4,-22.231612
8/3/2017,SDLD5,-6.4195994
8/3/2017,SDLD6,-8.551696
8/4/2017,SDLD1,58.340333
8/4/2017,SDLD2,-0.01481
8/4/2017,SDLD3,-23.50866
8/4/2017,SDLD4,-22.581612
8/4/2017,SDLD5,-6.4695994
8/4/2017,SDLD6,-8.551696
8/5/2017,SDLD1,58.330333
8/5/2017,SDLD2,-0.17481
8/5/2017,SDLD3,-23.50866
8/5/2017,SDLD4,-23.471612
8/5/2017,SDLD5,-6.4595994
8/5/2017,SDLD6,-8.561696
8/6/2017,SDLD1,58.320333
8/6/2017,SDLD2,-0.38481
8/6/2017,SDLD3,-23.50866
8/6/2017,SDLD4,-24.611612
8/6/2017,SDLD5,-6.4595994
8/6/2017,SDLD6,-8.551696
8/7/2017,SDLD1,58.280333
